u	v 	weight
Montgomery	Birmingham	92
Montgomery	Mobile	171
Montgomery	Jackson	251
New York City	Hartford	118
New York City	Albany	160
New York City	Harrisburg	174
New York City	Binghamton	199
New York City	Cleveland	481
New York City	Philadelphia	99
Harrisburg	Philadelphia	105
Baltimore	Philadelphia	98
Boston	Hartford	101
Boston	"Portland, ME"	103
Boston	Albany	177
Denver	Cheyenne	102
Denver	Lamar	206
Denver	Oakley	247
Denver	North Platte	290
Denver	Cortez	411
Denver	Albuquerque	457
Denver	Salt Lake City	529
Denver	St. George	648
"Portland, ME"	Bangor	132
"Portland, OR"	Eugene	115
"Portland, OR"	Seattle	180
"Portland, OR"	Riley	268
"Portland, OR"	Crescent City	346
"Portland, OR"	Spokane	400
"Portland, OR"	Boise	439
Reno	Winnemucca	164
Reno	Yosemite Village	213
Reno	Ely	331
Reno	Riley	342
Boise	Riley	210
Boise	Twin Falls	123
Boise	Winnemucca	257
Boise	Spokane	379
Boise	Seattle	499
Spokane	Seattle	276
Bismarck	Minot	106
Bismarck	Fargo	194
Bismarck	Pierre	209
Bismarck	Rapid City	358
Bismarck	Billings	418
Bismarck	Malta	430
Rapid City	Pierre	174
Rapid City	"Buffalo, WY"	216
Rapid City	Cheyenne	290
Rapid City	Sioux Falls	350
Phoenix	Tucson	112
Phoenix	Flagstaff	141
Phoenix	Springerville	236
Phoenix	San Diego	368
Phoenix	El Paso	404
Los Angeles	Phoenix	393
Los Angeles	San Diego	118
Los Angeles	Barstow	138
Los Angeles	Yosemite Village	313
Los Angeles	Reno	522
San Francisco	Los Angeles	384
San Francisco	Reno	228
San Francisco	Barstow	442
San Francisco	Yosemite Village	193
San Francisco	Crescent City	371
San Francisco	Eugene	540
Riley	Eugene	230
Las Vegas	St. George	122
Las Vegas	Barstow	155
Las Vegas	Ely	282
Las Vegas	Phoenix	288
Las Vegas	Reno	442
Las Vegas	Salt Lake City	423
Salt Lake City	Twin Falls	222
Salt Lake City	Rawlins	294
Salt Lake City	Ely	294
Salt Lake City	St. George	305
Salt Lake City	Cortez	348
Salt Lake City	Winnemucca	362
Salt Lake City	Helena	482
Salt Lake City	Old Faithful	482
Raleigh	Wilmington	127
Raleigh	Richmond	156
Raleigh	Norfolk	170
Cleveland	Pittsburgh	141
Cleveland	Columbus	146
Cleveland	Des Moines	677
San Antonio	Eagle Pass	142
San Antonio	Laredo	154
San Antonio	Houston	201
San Antonio	Brownsville	281
San Antonio	Big Spring	298
San Antonio	El Paso	552
San Antonio	Dallas	273
Dallas	Oklahoma City	208
Dallas	Houston	237
Dallas	Big Spring	266
Dallas	Springfield	282
Dallas	Little Rock	315
Dallas	Amarillo	367
Dallas	Jackson	417
Dallas	New Orleans	509
Omaha	Des Moines	143
Omaha	Topeka	163
Omaha	Sioux Falls	175
Omaha	Kansas City	194
Omaha	North Platte	298
Omaha	Liberal	489
Omaha	Rapid City	539
Minneapolis	Duluth	152
Minneapolis	Fargo	242
Minneapolis	Sioux Falls	247
Minneapolis	Madison	260
Minneapolis	Des Moines	286
Minneapolis	Pierre	399
Minneapolis	Omaha	409
Minneapolis	St. Louis	540
New Orleans	Mobile	153
New Orleans	Jackson	183
New Orleans	Birmingham	354
New Orleans	Houston	363
"Buffalo, WY"	Old Faithful	296
"Buffalo, WY"	Billings	168
"Buffalo, WY"	Rawlins	236
Old Faithful	Rawlins	320
Rawlins	Cheyenne	146
North Platte	Cheyenne	215
North Platte	Oakley	158
North Platte	Pierre	264
Charlotte	Raleigh	175
Charlotte	Myrtle Beach	180
Charlotte	Wilmington	188
Nashville	Louisville	180
Nashville	St. Louis	312
Nashville	Birmingham	192
Jackson	Birmingham	234
Pittsburgh	Harrisburg	218
Pittsburgh	Columbus	184
Indianapolis	St. Louis	244
Indianapolis	Columbus	179
Indianapolis	Louisville	124
Brownsville	Houston	365
Brownsville	Laredo	204
Eagle Pass	Laredo	124
Billings	Malta	206
Billings	Helena	243
Helena	Old Faithful	216
Helena	Malta	293
Helena	Missoula	116
Spokane	Missoula	198
Twin Falls	Missoula	401
Twin Falls	Ely	255
Little Rock	Springfield	219
Little Rock	Jackson	267
Little Rock	Houston	315
Little Rock	Oklahoma City	336
Little Rock	St. Louis	350
St. Louis	Des Moines	387
St. Louis	Louisville	259
St. Louis	Kansas City	250
St. Louis	Springfield	224
Malta	Minot	457
Fargo	Minot	268
Fargo	Duluth	259
Fargo	Sioux Falls	253
Flagstaff	St. George	286
Flagstaff	Cortez	263
Flagstaff	Barstow	348
San Diego	Barstow	181
El Paso	Big Spring	344
El Paso	Amarillo	412
El Paso	Eagle Pass	484
El Paso	Houston	746
El Paso	Tucson	324
El Paso	Albuquerque	270
Albuquerque	Lamar	393
Albuquerque	Flagstaff	325
Albuquerque	Amarillo	296
Albuquerque	Cortez	273
Albuquerque	Springerville	233
Albuquerque	Big Spring	418
Albuquerque	Liberal	421
Amarillo	Liberal	164
Amarillo	Oklahoma City	259
Amarillo	Big Spring	224
Amarillo	Lamar	228
Liberal	Lamar	168
Liberal	Oakley	143
Liberal	Wichita	209
Topeka	Wichita	138
Topeka	Oakley	289
Topeka	Liberal	361
Oklahoma City	Wichita	156
Oklahoma City	Liberal	256
Oklahoma City	Springfield	283
